Date,Open,High,Low,Close,Volume,Adjusted Close
4/2/2012,5296.350098,5331.549805,5278.799805,5317.899902,0,5317.899902
3/30/2012,5206.600098,5307.100098,5203.649902,5295.549805,0,5295.549805
3/29/2012,5145.950195,5194.299805,5135.950195,5178.850098,0,5178.850098
3/28/2012,5231.700195,5236.549805,5169.600098,5194.75,0,5194.75
3/27/2012,5242.950195,5277.950195,5184.649902,5243.149902,0,5243.149902
3/26/2012,5274.350098,5274.950195,5174.899902,5184.25,0,5184.25
3/23/2012,5255.649902,5312,5220,5278.200195,0,5278.200195
3/22/2012,5361.100098,5385.950195,5205.649902,5228.450195,0,5228.450195
3/21/2012,5267.200195,5372.350098,5256,5364.950195,0,5364.950195
3/20/2012,5257.149902,5297.350098,5233.25,5274.850098,0,5274.850098
3/19/2012,5337.350098,5340.700195,5238.549805,5257.049805,0,5257.049805
3/16/2012,5380.350098,5445.649902,5305,5317.899902,0,5317.899902
3/15/2012,5462.5,5462.5,5362.299805,5380.5,0,5380.5
3/14/2012,5490.549805,5499.399902,5437.799805,5463.899902,0,5463.899902
3/13/2012,5391.049805,5438.649902,5390.799805,5429.5,0,5429.5
3/12/2012,5420.100098,5421.899902,5327.299805,5359.549805,0,5359.549805
3/9/2012,5220.450195,5342.299805,5220.450195,5333.549805,0,5333.549805
3/7/2012,5207.049805,5243.850098,5171.450195,5220.450195,0,5220.450195
3/6/2012,5266,5382.049805,5206.399902,5222.399902,0,5222.399902
3/5/2012,5342.549805,5344.5,5265.700195,5280.350098,0,5280.350098
3/3/2012,null,null,null,null,null,null
3/2/2012,5369.450195,5392.549805,5315.049805,5359.350098,0,5359.350098
3/1/2012,5366,5372.450195,5297.5,5339.75,0,5339.75
2/29/2012,5424.950195,5458.799805,5352.25,5385.200195,0,5385.200195
2/28/2012,5310.5,5391.100098,5306.450195,5375.5,0,5375.5
2/27/2012,5448.100098,5449.799805,5268.149902,5281.200195,0,5281.200195
2/24/2012,5479.149902,5521.399902,5405.899902,5429.299805,0,5429.299805
2/23/2012,5490.049805,5537.399902,5460.799805,5483.299805,0,5483.299805
2/22/2012,5609.75,5629.950195,5491.350098,5505.350098,0,5505.350098
2/21/2012,5561.899902,5621.5,5561.75,5607.149902,0,5607.149902
2/17/2012,5574.200195,5606.700195,5545.200195,5564.299805,0,5564.299805
2/16/2012,5513.75,5531.399902,5483.75,5521.950195,0,5521.950195
2/15/2012,5460.600098,5542.100098,5460.600098,5531.950195,0,5531.950195
2/14/2012,5380.799805,5428.049805,5377.950195,5416.049805,0,5416.049805
2/13/2012,5382.100098,5421.049805,5351.399902,5390.200195,0,5390.200195
2/10/2012,5399.799805,5427.75,5341.049805,5381.600098,0,5381.600098
2/9/2012,5343.049805,5423.399902,5338.899902,5412.350098,0,5412.350098
2/8/2012,5343.799805,5396.899902,5325.200195,5368.149902,0,5368.149902
2/7/2012,5412.950195,5413.350098,5322.950195,5335.149902,0,5335.149902
2/6/2012,5379.450195,5390.049805,5327.25,5361.649902,0,5361.649902
2/3/2012,5276.100098,5334.850098,5255.549805,5325.850098,0,5325.850098
2/2/2012,5272.100098,5289.950195,5225.75,5269.899902,0,5269.899902
2/1/2012,5198.149902,5244.600098,5159,5235.700195,0,5235.700195
